Unnamed: 0;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor
ABEV3;15.25;324841037;21.08;3.19;0.0322;-0.19;0.72;0.75;2
AGRO3;30.47;20812315;12.82;2.23;0.0233;0.44;3.14;2.1;2
ALUP11;25.94;18565417;8.07;0.85;0.032400000000000005;0.77;3.21;3.04;4
ALUP3;8.47;150042;7.9;0.83;0.0331;0.77;1.07;1.01;4
ALUP4;8.75;209723;8.17;0.86;0.032;0.77;1.07;1.01;4
B3SA3;53.58;813549299;26.35;4.46;0.0484;-0.34;2.02;1.32;1
BRDT3;22.38;189850556;6.68;2.14;0.1112;0.43;3.35;1.9;7
BRPR3;9.03;15054301;21.45;0.61;0.0219;0.15;0.42;0.76;1
CAML3;10.12;16023254;8.42;1.66;0.0592;0.5;0.96;0.58;2
CARD3;26.5;6544555;23.64;3.78;0.0175;0.17;1.12;0.64;3
CCPR3;11.96;4692289;36.04;0.62;0.078;0.37;0.33;0.27;1
CEBR3;198.06;576827;6.6;3.17;0.0084;-0.05;30.01;8.26;4
CEBR5;239.0;147701;7.96;3.82;0.016399999999999998;-0.05;30.01;8.26;4
CEBR6;217.0;215957;7.23;3.47;0.0085;-0.05;30.01;8.26;4
CESP3;28.86;464265;5.28;1.34;0.09;0.14;5.28;3.55;4
CESP6;25.04;67601614;4.58;1.16;0.10369999999999999;0.14;5.28;3.55;4
CGRA4;33.15;767073;9.41;1.06;0.0384;-0.29;3.52;6.45;5
CLSC4;65.99;382501;4.91;1.28;0.039599999999999996;0.4;13.45;5.21;4
CMIG3;15.83;8207252;8.37;1.37;0.038900000000000004;0.57;1.89;2.14;4
CMIG4;13.78;124439690;7.31;1.2;0.0446;0.57;1.89;2.14;4
COCE5;55.08;840361;16.17;1.33;0.038599999999999995;0.69;3.41;5.2;4
CPFE3;30.2;73365662;9.55;2.44;0.0596;0.92;3.16;2.66;4
CPLE3;6.14;12915802;4.3;0.83;0.1316;0.33;14.27;7.27;4
CPLE6;6.37;88870178;4.46;0.86;0.13949999999999999;0.33;14.27;7.27;4
CRFB3;21.93;95363339;16.3;2.55;0.0113;0.01;1.35;0.51;2
CRPG5;58.88;912582;9.24;2.34;0.015;-0.54;6.36;4.73;6
CSAN3;90.89;303165221;49.99;3.7;0.0165;0.95;2.16;6.08;7
CSMG3;16.57;39960950;7.72;0.98;0.1699;0.46;2.15;5.95;4
CYRE3;24.03;156710762;5.44;1.65;0.12119999999999999;0.15;4.4;1.04;5
DIRR3;12.89;15965567;17.46;1.47;0.0629;0.11;0.74;0.66;5
DTEX3;21.14;45072554;32.18;2.81;0.0355;0.28;0.66;0.59;6
EALT4;6.65;330979;5.93;0.81;0.009000000000000001;0.37;1.12;0.75;3
EEEL3;547.5;110251;18.97;2.07;0.0361;-0.01;28.87;40.41;4
ELET3;36.24;204320076;8.97;0.77;0.1105;0.41;4.04;7.91;4
ELET6;36.43;83305041;9.02;0.78;0.1209;0.41;4.04;7.91;4
EMAE4;80.01;336806;14.89;4.11;0.1015;-0.63;5.37;2.51;4
ENBR3;18.68;63603858;7.52;1.01;0.0535;0.55;2.49;2.2;4
ENMT4;47.4;142297;15.31;3.73;0.012;0.94;3.1;2.79;4
EQPA3;4.39;267274;13.5;2.88;0.0638;0.52;0.33;0.21;4
EQTL3;25.29;187988955;8.59;2.08;0.0127;0.83;2.94;11.97;4
EUCA3;24.16;255473;15.52;1.51;0.0083;0.28;1.56;0.71;6
EUCA4;11.65;2668369;7.48;0.73;0.019;0.28;1.56;0.71;6
EZTC3;32.54;80929978;18.23;1.79;0.009000000000000001;-0.26;1.79;1.41;5
FLRY3;25.31;49626522;31.26;4.59;0.0288;0.49;0.81;0.99;0
FRAS3;11.89;3300326;13.73;2.71;0.0231;0.48;0.87;0.4;3
GGBR3;28.74;3898346;20.89;1.59;0.0146;0.32;1.38;0.7;6
GGBR4;34.57;463029806;25.13;1.91;0.0121;0.32;1.38;0.7;6
GOAU3;13.79;853113;17.21;0.46;0.0174;0.26;0.8;0.43;6
GOAU4;15.47;147117237;19.28;0.52;0.0155;0.26;0.8;0.43;6
GPCP3;32.53;3975009;8.56;3.23;0.009399999999999999;0.3;3.8;3.98;6
GRND3;7.78;14242332;17.32;1.66;0.087;-0.33;0.45;0.55;5
HGTX3;27.11;109802758;12.82;2.71;0.0163;-0.11;2.11;1.32;5
IGTA3;37.44;87376132;32.58;2.09;0.0055000000000000005;0.6;1.15;1.76;1
ITSA3;11.09;2187614;13.23;1.54;0.025099999999999997;0.02;0.84;1.23;1
ITSA4;10.3;286735848;12.29;1.43;0.027000000000000003;0.02;0.84;1.23;1
JHSF3;6.91;40813061;7.36;1.24;0.0518;0.14;0.94;0.61;5
JPSA3;27.23;7238727;31.17;0.75;0.0051;0.62;0.87;1.46;1
KEPL3;49.39;10533499;19.19;2.51;0.025699999999999997;-0.51;2.57;1.43;3
LCAM3;25.47;65572255;33.53;3.09;0.014199999999999999;0.82;0.76;2.27;5
LEVE3;27.83;12350360;28.62;2.66;0.019799999999999998;-0.03;0.97;2.02;5
LOGG3;29.7;13464618;21.66;0.98;0.0181;0.11;1.37;1.22;1
LREN3;39.78;430545990;28.85;5.75;0.0091;0.13;1.38;1.39;5
MDIA3;27.02;36990017;11.98;1.38;0.018799999999999997;0.05;2.25;1.64;2
MRVE3;17.65;71236475;15.49;1.41;0.031;0.59;1.14;1.55;5
MTSA4;39.98;173455;6.39;1.31;0.0189;-0.28;6.26;1.97;3
MULT3;23.61;149708462;14.71;2.28;0.019299999999999998;0.3;1.6;0.78;1
NEOE3;16.56;32210244;7.16;0.93;0.0371;0.99;2.31;1.84;4
ODPV3;12.71;18410506;18.76;5.61;0.0545;-0.61;0.68;0.54;0
OFSA3;33.32;805901;20.11;3.22;0.0183;0.27;1.66;0.86;0
PARD3;19.04;9888626;19.74;3.4;0.0152;0.21;0.97;1.21;0
PCAR3;37.74;245135496;4.66;0.6;0.0154;0.03;8.12;2.96;2
POMO3;2.49;585849;22.79;0.91;0.008;0.38;0.11;0.21;3
POMO4;2.63;20389194;24.07;0.96;0.0076;0.38;0.11;0.21;3
POSI3;11.26;79290838;8.46;1.56;0.0028000000000000004;0.21;1.35;0.19;8
PSSA3;48.02;48474977;9.2;1.73;0.0583;-1.17;5.22;4.27;1
PTBL3;10.65;40025721;12.84;3.94;0.014199999999999999;0.96;0.81;0.08;3
QUAL3;26.36;83574105;19.17;4.46;0.0111;0.36;1.38;1.39;0
RAPT3;11.25;291436;5.85;1.46;0.054000000000000006;0.43;1.92;0.85;3
RAPT4;13.94;39564263;7.27;1.81;0.0435;0.43;1.92;0.85;3
REDE3;8.09;273738;18.81;2.99;0.0115;0.91;0.43;0.35;4
ROMI3;33.7;54100030;16.02;2.97;0.0608;0.33;2.38;2.06;3
SAPR11;20.84;53465421;6.32;0.91;0.04769999999999999;0.4;3.3;10.72;4
SAPR3;4.19;2762922;6.36;0.91;0.043899999999999995;0.4;0.66;2.14;4
SAPR4;4.2;21911983;6.37;0.91;0.0482;0.4;0.66;2.14;4
SBSP3;40.81;152773527;28.66;1.22;0.0337;0.59;1.42;5.59;4
SCAR3;38.35;304301;25.35;1.42;0.0016;0.64;1.51;1.5;1
SEER3;12.74;10825026;9.94;1.15;0.0256;-0.06;1.28;1.06;5
SHUL4;10.84;4492555;13.66;2.61;0.0321;0.33;1.59;1.09;3
SLCE3;50.38;55570828;19.65;3.05;0.0196;0.26;2.56;1.63;2
SMLS3;21.49;56347745;14.24;2.97;0.2465;-0.72;1.58;5.05;5
SULA11;32.64;139872564;5.92;1.72;0.055;-1.88;5.85;3.0;1
SULA3;12.22;436474;6.65;1.93;0.049;-1.88;1.95;1.0;1
SULA4;10.24;517960;5.57;1.61;0.0584;-1.88;1.95;1.0;1
TAEE11;40.63;92407294;6.19;2.32;0.079;0.89;6.57;2.91;4
TAEE3;13.55;1135069;6.19;2.32;0.079;0.89;2.19;0.97;4
TAEE4;13.56;2993113;6.19;2.33;0.0789;0.89;2.19;0.97;4
TEND3;25.99;26814596;13.54;1.79;0.019;-0.1;1.92;2.53;5
TGMA3;22.36;12224729;20.04;2.36;0.023700000000000002;-0.01;1.12;2.94;3
TIMS3;12.01;73889663;15.77;1.25;0.0373;0.24;0.76;1.38;9
TRIS3;9.76;13267956;10.74;1.51;0.0246;0.05;0.91;0.96;5
TRPL3;29.2;198667;5.72;1.36;0.1066;0.14;5.1;2.68;4
TRPL4;26.01;42049600;5.1;1.21;0.1197;0.14;5.1;2.68;4
UCAS3;5.17;751055;23.08;2.2;0.055999999999999994;-0.31;0.22;0.27;5
UNIP3;74.09;1648302;19.03;4.02;0.024700000000000003;-0.23;3.89;1.99;6
UNIP5;80.23;112816;20.61;4.36;0.025;-0.23;3.89;1.99;6
UNIP6;81.27;27317729;20.88;4.41;0.024700000000000003;-0.23;3.89;1.99;6
USIM3;24.04;13947519;14.5;1.91;0.0016;0.11;0.54;0.17;6
USIM5;23.25;390184360;13.99;1.85;0.0019;0.11;0.54;0.17;6
VIVA3;24.29;27615195;39.12;4.9;0.0044;-0.13;0.62;1.23;5
VIVT3;42.98;118793807;15.23;1.04;0.1017;0.11;2.82;2.96;9
VIVT4;45.34;111231163;16.07;1.1;0.050499999999999996;0.11;2.82;2.96;9
WEGE3;36.66;436197263;32.88;6.45;0.0084;-0.23;1.12;0.77;3
WHRL4;8.55;210142;18.04;6.66;0.0315;-0.83;0.47;1.18;5
WIZS3;10.41;24135404;8.59;5.62;0.0582;-0.86;1.22;1.34;1
WSON33;50.34;2464335;32.24;1.62;0.11720000000000001;0.93;1.57;1.62;3
